index,source,student_psnr_db,student_ssim,student_mae_normalized,bicubic_psnr_db,bicubic_ssim,bicubic_mae_normalized
1854,/root/autodl-tmp/data/REDS/val_sharp/018/00000053.png,23.867385,0.596913,0.04480078,23.778699,0.588543,0.04523017
1855,/root/autodl-tmp/data/REDS/val_sharp/018/00000054.png,23.862242,0.594344,0.04495771,23.773124,0.585878,0.04539031
1856,/root/autodl-tmp/data/REDS/val_sharp/018/00000055.png,23.896303,0.594378,0.04474423,23.806651,0.585978,0.04517764
1857,/root/autodl-tmp/data/REDS/val_sharp/018/00000056.png,23.927341,0.596786,0.04458211,23.838218,0.588529,0.04501102
1858,/root/autodl-tmp/data/REDS/val_sharp/018/00000057.png,23.969343,0.600524,0.04424381,23.880503,0.592074,0.04467504
1859,/root/autodl-tmp/data/REDS/val_sharp/018/00000058.png,24.066057,0.605897,0.04363892,23.979529,0.597658,0.04404896
1860,/root/autodl-tmp/data/REDS/val_sharp/018/00000059.png,24.087149,0.605637,0.04356252,23.998942,0.597385,0.04397569
1861,/root/autodl-tmp/data/REDS/val_sharp/018/00000060.png,24.125511,0.606551,0.04343049,24.037853,0.598395,0.04384693
1862,/root/autodl-tmp/data/REDS/val_sharp/018/00000061.png,24.170380,0.608927,0.04322323,24.078406,0.600573,0.04365297
1863,/root/autodl-tmp/data/REDS/val_sharp/018/00000062.png,24.267557,0.613615,0.04267731,24.177849,0.605445,0.04309316
1864,/root/autodl-tmp/data/REDS/val_sharp/018/00000063.png,24.277682,0.613252,0.04260794,24.184911,0.605134,0.04303050
1865,/root/autodl-tmp/data/REDS/val_sharp/018/00000064.png,24.300734,0.615615,0.04238480,24.208308,0.607450,0.04279984
1866,/root/autodl-tmp/data/REDS/val_sharp/018/00000065.png,24.300112,0.616099,0.04237716,24.207244,0.607903,0.04279977
1867,/root/autodl-tmp/data/REDS/val_sharp/018/00000066.png,24.292588,0.614465,0.04241791,24.202026,0.606417,0.04283233
1868,/root/autodl-tmp/data/REDS/val_sharp/018/00000067.png,24.390118,0.618798,0.04187422,24.296034,0.610650,0.04229459
1869,/root/autodl-tmp/data/REDS/val_sharp/018/00000068.png,24.317069,0.614182,0.04227072,24.226192,0.606125,0.04268314
1870,/root/autodl-tmp/data/REDS/val_sharp/018/00000069.png,24.324942,0.611646,0.04232842,24.233645,0.603595,0.04273742
1871,/root/autodl-tmp/data/REDS/val_sharp/018/00000070.png,24.367844,0.614142,0.04201946,24.276960,0.606120,0.04242723
1872,/root/autodl-tmp/data/REDS/val_sharp/018/00000071.png,24.396100,0.613398,0.04190317,24.305290,0.605298,0.04229661
1873,/root/autodl-tmp/data/REDS/val_sharp/018/00000072.png,24.382296,0.609349,0.04210980,24.290506,0.601274,0.04251805
1874,/root/autodl-tmp/data/REDS/val_sharp/018/00000073.png,24.390230,0.609260,0.04209724,24.296503,0.601070,0.04251501
1875,/root/autodl-tmp/data/REDS/val_sharp/018/00000074.png,24.418678,0.612230,0.04187307,24.330558,0.604446,0.04225591
1876,/root/autodl-tmp/data/REDS/val_sharp/018/00000075.png,24.472553,0.614683,0.04153253,24.380978,0.606723,0.04192531
1877,/root/autodl-tmp/data/REDS/val_sharp/018/00000076.png,24.403570,0.608115,0.04196533,24.311823,0.600177,0.04236108
1878,/root/autodl-tmp/data/REDS/val_sharp/018/00000077.png,24.501075,0.612311,0.04146846,24.411049,0.604490,0.04184508
1879,/root/autodl-tmp/data/REDS/val_sharp/018/00000078.png,24.504049,0.609552,0.04155860,24.415003,0.601658,0.04193334
1880,/root/autodl-tmp/data/REDS/val_sharp/018/00000079.png,24.497024,0.608016,0.04165297,24.406058,0.600017,0.04203968
1881,/root/autodl-tmp/data/REDS/val_sharp/018/00000080.png,24.483510,0.608116,0.04171872,24.393383,0.600270,0.04208729
1882,/root/autodl-tmp/data/REDS/val_sharp/018/00000081.png,24.675995,0.618469,0.04064985,24.584342,0.610657,0.04101273
